doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
danh-gia-ren-luyen-ftu,data\quy-che-ftu\danh-gia-ren-luyen-ftu.md,Quy định đánh giá kết quả rèn luyện sinh viên,"https://fbf.ftu.edu.vn/sinh-vi%C3%AAn/quy-%C4%91%E1%BB%8Bnh,-quy-ch%E1%BA%BF/1124-quy-%C4%91%E1%BB%8Bnh-%C4%91%C3%A1nh-gi%C3%A1-k%E1%BA%BFt-qu%E1%BA%A3-r%C3%A8n-luy%E1%BB%87n-sinh-vi%C3%AAn-%C4%91%E1%BA%A1i-h%E1%BB%8Dc-h%E1%BB%87-ch%C3%ADnh-quy.html",2026-08-03,not-stated,public-source
hoc-phi-ftu,data\quy-che-ftu\hoc-phi-ftu.md,Các quy định về học phí,"https://fbf.ftu.edu.vn/sinh-vi%C3%AAn/quy-%C4%91%E1%BB%8Bnh,-quy-ch%E1%BA%BF/1321-c%C3%A1c-quy-%C4%91%E1%BB%8Bnh-v%E1%BB%81-h%E1%BB%8Dc-ph%C3%AD.html",2026-08-03,not-stated,public-source
quan-ly-dao-tao-ftu,data\quy-che-ftu\quan-ly-dao-tao-ftu.md,Các quy định khác về quản lý đào tạo,"https://fbf.ftu.edu.vn/sinh-vi%C3%AAn/quy-%C4%91%E1%BB%8Bnh,-quy-ch%E1%BA%BF/910-c%C3%A1c-quy-%C4%91%E1%BB%8Bnh-kh%C3%A1c-v%E1%BB%81-qu%E1%BA%A3n-l%C3%BD-%C4%91%C3%A0o-t%E1%BA%A1o.html",2026-08-03,not-stated,public-source
thi-ket-thuc-hoc-phan-ftu,data\quy-che-ftu\thi-ket-thuc-hoc-phan-ftu.md,Quy trình tổ chức thi kết thúc học phần trình độ đại học chính quy,"https://fbf.ftu.edu.vn/sinh-vi%C3%AAn/quy-%C4%91%E1%BB%8Bnh,-quy-ch%E1%BA%BF/1081-quy-tr%C3%ACnh-t%E1%BB%95-ch%E1%BB%A9c-thi-k%E1%BA%BFt-th%C3%BAc-h%E1%BB%8Dc-ph%E1%BA%A7n-tr%C3%ACnh-%C4%91%E1%BB%99-%C4%91%E1%BA%A1i-h%E1%BB%8Dc-ch%C3%ADnh-quy.html",2026-08-03,not-stated,public-source
thuc-tap-khoa-luan-ftu,data\quy-che-ftu\thuc-tap-khoa-luan-ftu.md,Quy định về điều kiện đi thực tập tốt nghiệp và viết khoá luận,"https://fbf.ftu.edu.vn/sinh-vi%C3%AAn/quy-%C4%91%E1%BB%8Bnh,-quy-ch%E1%BA%BF/909-quy-%C4%91%E1%BB%8Bnh-v%E1%BB%81-%C4%91i%E1%BB%81u-ki%E1%BB%87n-%C4%91i-th%E1%BB%B1c-t%E1%BA%ADp-t%E1%BB%91t-nghi%E1%BB%87p-v%C3%A0-vi%E1%BA%BFt-kho%C3%A1-lu%E1%BA%ADn-t%E1%BB%91t-nghi%E1%BB%87p,-x%C3%A9t-v%C3%A0-c%E1%BA%A5p-b%E1%BA%B1ng-t%E1%BB%91t-nghi%E1%BB%87p-%C4%91%E1%BB%91i-v%E1%BB%9Bi-sinh-vi%C3%AAn-h%E1%BB%87-%C4%91%C3%A0o-t%E1%BA%A1o-%C4%91%E1%BA%A1i-h%E1%BB%8Dc-ch%C3%ADnh-quy-theo-h%E1%BB%87-th%E1%BB%91ng-t%C3%ADn-ch%E1%BB%89-t%E1%BA%A1i-tr%C6%B0%E1%BB%9Dng-%C4%91%E1%BA%A1i-h%E1%BB%8Dc-ngo%E1%BA%A1i-th%C6%B0%C6%A1ng.html",2026-08-03,not-stated,public-source
