doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
hus-mim-thong-tin-chung-dao-tao,data/hus_university/hus-mim-thong-tin-chung-dao-tao.md,Thông tin chung về đào tạo đại học,http://mim.hus.vnu.edu.vn/vi/giaovudaihoc,2026-08-03,not-stated,public-page
hus-mim-cau-hoi-thuong-gap,data/hus_university/hus-mim-cau-hoi-thuong-gap.md,Một số câu hỏi thường gặp,http://mim.hus.vnu.edu.vn/vi/cauhoi,2026-08-03,not-stated,public-page
hus-mim-dieu-kien-ho-tro-sinh-vien,data/hus_university/hus-mim-dieu-kien-ho-tro-sinh-vien.md,Các điều kiện hỗ trợ cho sinh viên,http://mim.hus.vnu.edu.vn/vi/hotrosinhvien,2026-08-03,not-stated,public-page
hus-mim-dam-bao-tai-chinh,data/hus_university/hus-mim-dam-bao-tai-chinh.md,Đảm bảo tài chính khi học đại học,http://mim.hus.vnu.edu.vn/vi/dambaotaichinh,2026-08-03,not-stated,public-page
hus-mim-phuong-phap-hoc-tap-hoc-bong,data/hus_university/hus-mim-phuong-phap-hoc-tap-hoc-bong.md,Phương pháp học tập và cách thức xin học bổng,http://mim.hus.vnu.edu.vn/vi/pphoctap,2026-08-03,not-stated,public-page
hus-mim-nghien-cuu-khoa-hoc-sinh-vien,data/hus_university/hus-mim-nghien-cuu-khoa-hoc-sinh-vien.md,Nghiên cứu khoa học và các điều cần lưu ý,http://mim.hus.vnu.edu.vn/vi/nghiencuukhoahocvaluuy,2026-08-03,not-stated,public-page
