doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
chung-chi-gdtc-qpan,data\quy-che-quy-dinh\chung-chi-gdtc-qpan.md,Thông báo điều kiện cấp chứng chỉ Giáo dục quốc phòng - An ninh,https://sinhvien.huce.edu.vn/sinh-vien/tin-tuc/thong-bao-dieu-kien-cap-chung-chi-giao-duc-quoc-phong-an-ninh.html,2026-08-03,2025-10-23,public-source
danh-gia-ket-qua-hoc-tap,data\quy-che-quy-dinh\danh-gia-ket-qua-hoc-tap.md,Quy định Tổ chức đánh giá và công nhận kết quả học tập theo chuẩn đầu ra,https://sinhvien.huce.edu.vn/sinh-vien/tin-tuc/quy-dinh-to-chuc-danh-gia-va-cong-nhan-ket-qua-hoc-tap-theo-chuan-dau-ra-chuong-trinh-dao-tao-bac-dai-hoc.html,2026-08-03,2026-03-12,public-source
do-an-tot-nghiep,data\quy-che-quy-dinh\do-an-tot-nghiep.md,Quy định Tổ chức và Đánh giá Đồ án tốt nghiệp Trường Đại học Xây dựng Hà Nội,https://sinhvien.huce.edu.vn/sinh-vien/tin-tuc/quy-dinh-to-chuc-va-danh-gia-do-an-tot-nghiep-truong-dai-hoc-xay-dung-ha-noi.html,2026-08-03,2026-03-21,public-source
thuc-tap-tot-nghiep,data\quy-che-quy-dinh\thuc-tap-tot-nghiep.md,Quy định Tổ chức và Đánh giá Thực tập tốt nghiệp Trường Đại học Xây dựng Hà Nội,https://sinhvien.huce.edu.vn/sinh-vien/tin-tuc/quy-dinh-to-chuc-va-danh-gia-thuc-tap-tot-nghiep-truong-dai-hoc-xay-dung-ha-noi.html,2026-08-03,2026-01-26,public-source
van-hoa-hoc-duong,data\quy-che-quy-dinh\van-hoa-hoc-duong.md,Quy chế Văn hóa học đường của Trường Đại học Xây dựng Hà Nội,https://sinhvien.huce.edu.vn/sinh-vien/tin-tuc/quy-che-van-hoa-hoc-duong-cua-truong-dai-hoc-xay-dung-ha-noi.html,2026-08-03,2024-09-17,public-source
