doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
usth-hoc-phi-va-phi,data/usth-so-tay-sv/01-hoc-phi-va-phi.md,Học phí và phí,https://usth.edu.vn/cong-tac-sinh-vien/hoc-bong-hoc-phi-cong-tac-sinh-vien/hoc-phi-va-phi/,2026-08-03,not-stated,public-page
usth-hoc-bong-usth,data/usth-so-tay-sv/02-hoc-bong-usth.md,Học bổng USTH,https://usth.edu.vn/cong-tac-sinh-vien/hoc-bong-hoc-phi-cong-tac-sinh-vien/hoc-bong-usth/,2026-08-03,not-stated,public-page
usth-hoc-bong-khac,data/usth-so-tay-sv/03-hoc-bong-khac.md,Học bổng khác,https://usth.edu.vn/cong-tac-sinh-vien/hoc-bong-hoc-phi-cong-tac-sinh-vien/hoc-bong-khac/,2026-08-03,not-stated,public-page
usth-thu-tuc-hanh-chinh,data/usth-so-tay-sv/04-thu-tuc-hanh-chinh.md,Thủ tục hành chính công tác sinh viên,https://usth.edu.vn/cong-tac-sinh-vien/dich-vu-ho-tro-cong-tac-sinh-vien/thu-tuc-hanh-chinh-dich-vu-ho-tro/,2026-08-03,not-stated,public-page
usth-quy-dinh-quy-che,data/usth-so-tay-sv/05-quy-dinh-quy-che.md,Quy định – Quy chế công tác sinh viên,https://usth.edu.vn/cong-tac-sinh-vien/dich-vu-ho-tro-cong-tac-sinh-vien/quy-dinh-quy-che/,2026-08-03,not-stated,public-page
usth-ky-tuc-xa,data/usth-so-tay-sv/06-ky-tuc-xa-sinh-vien.md,Thông tin khu lưu trú (ký túc xá) sinh viên,https://usth.edu.vn/cong-tac-sinh-vien/dich-vu-ho-tro-cong-tac-sinh-vien/ky-tuc-xa-sinh-vien/,2026-08-03,not-stated,public-page
usth-cham-soc-suc-khoe,data/usth-so-tay-sv/07-cham-soc-suc-khoe.md,Chăm sóc sức khỏe sinh viên,https://usth.edu.vn/cong-tac-sinh-vien/dich-vu-ho-tro-cong-tac-sinh-vien/cham-soc-suc-khoe/,2026-08-03,not-stated,public-page
usth-thu-vien,data/usth-so-tay-sv/08-thu-vien.md,Thư viện USTH,https://usth.edu.vn/thu-vien-8449/,2026-08-03,not-stated,public-page
usth-dang-ky-hoc-phan,data/usth-so-tay-sv/09-huong-dan-dang-ky-hoc-phan.md,Hướng dẫn đăng ký học phần (Block 3),https://usth.edu.vn/huong-dan-dang-ky-hoc-phan-block-3-28717/,2026-08-03,not-stated,public-page
